"Informazioni cronologiche","A quale categoria appartieni?","Quanto saresti interessato/a ad avere accesso a una biblioteca digitale?","Per quali finalità useresti maggiormente la biblioteca digitale?","Quanto è importante per te poter accedere ai contenuti da qualsiasi dispositivo (computer, tablet, smartphone)?","Saresti disposto/a a registrarti con un account scolastico per accedere ai servizi digitali?","Quali contenuti riterresti più utili?","Quanto troveresti utile poter prendere in prestito libri digitali direttamente da casa?","Quale sarebbe la tua frequenza d’uso della biblioteca digitale?","Che livello di assistenza ti aspetteresti dalla biblioteca digitale?","Come giudichi la possibilità di affiancare la biblioteca digitale a quella tradizionale?","Quali funzionalità considereresti più importanti?","Attualmente, come acquisti o vendi principalmente i libri scolastici usati?","Quanto saresti interessato/a a utilizzare una piattaforma online specializzata solo per la compravendita di libri scolastici usati?","Quanto saresti disposto/a a risparmiare sull'acquisto di un libro usato rispetto al prezzo di copertina (nuovo)?","Saresti disposto/a a pagare una piccola commissione sul prezzo di vendita/acquisto per usufruire delle garanzie e dei servizi del sito (es. assistenza clienti o transazione sicura)?","Quale metodo di consegna/ritiro preferisci per le transazioni online?","Quale di queste funzionalità è la più importante per te in un sito di libri usati? ","Quanto è importante che il sito ti permetta di filtrare i libri per la tua specifica scuola, classe o indirizzo di studio?
","Se un libro che cerchi non è immediatamente disponibile, preferiresti:","Quanto è alta la tua preoccupazione riguardo al rischio di truffe o transazioni non andate a buon fine nell'acquisto/vendita di libri usati online?","Vorresti aggiungere altro?"
"2025/12/11 9:36:29 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Nessuna assistenza necessaria","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Non ho un aspettativa precisa","Si, anche con una commissione moderata (es. 5-10%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:39:05 AM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","Poter trovare nella biblioteca anche libri di lettura di piacere e non solo scolastici"
"2025/12/11 9:39:45 AM CET","Docente","Molto interessato/a","Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","FAQ e guide on-line","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:44:43 AM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Ebook scolastici o accademici","Molto utile","Quotidiana","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Tutte le precedenti","Molto interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Assente",""
"2025/12/11 9:45:55 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:47:17 AM CET","Studente","Abbastanza interessato/a","Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Estremamente interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Assente","Se mi truffano li andiamo a prendere"
"2025/12/11 9:47:30 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta",""
"2025/12/11 9:47:50 AM CET","Studente","Poco interessato/a","Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Audiolibri","Molto utile","Mensile","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media","no"
"2025/12/11 9:48:08 AM CET","Studente","Abbastanza interessato/a","Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 9:50:58 AM CET","Personale ATA","Molto interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Molto interessato/a","Fino al 30% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:51:30 AM CET","Personale ATA","Molto interessato/a","Aggiornamento professionale","Molto importante","Si, senza problemi","Audiolibri","Molto utile","Quotidiana","Assistenza immediata via chat","Un grande miglioramento","Ricerca avanzata dei contenuti","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Estremamente interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","Sarebbe un ottimo passo se tutto questo si avveri il prima possibile"
"2025/12/11 9:52:21 AM CET","Studente","Poco interessato/a","Non la utilizzerei","Abbastanza importante","Forse","Audiolibri","Abbastanza utile","Mensile","Assistenza tramite email","Indifferente","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Non ho bisogno di questa funzionalità","Media","No"
"2025/12/11 9:55:33 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Riviste, quotidiani o articoli digitali;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Poco interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","no"
"2025/12/11 9:58:29 AM CET","Studente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Audiolibri","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:58:37 AM CET","Docente","Poco interessato/a","Non la utilizzerei","Poco importante","Forse","Riviste, quotidiani o articoli digitali","Abbastanza utile","Mensile","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Molto interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 10:00:07 AM CET","Studente","Abbastanza interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Fino al 30% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta",""
"2025/12/11 10:00:28 AM CET","Docente","Molto interessato/a","Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 10:01:02 AM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Riviste, quotidiani o articoli digitali","Poco utile","Mensile","Assistenza tramite email","Un servizio utile","Supporto tecnico e/o assistenza","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Non ho bisogno di questa funzionalità","Alta",""
"2025/12/11 10:04:50 AM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici","Molto utile","Settimanale","FAQ e guide on-line","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa","No"
"2025/12/11 10:12:36 AM CET","Docente","Abbastanza interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Mercatini dell'usato/Librerie fisiche","Poco interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Poco importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 10:13:59 AM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 10:17:42 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, ma solo con pochi dati richiesti","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Poco interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","Ottima iniziativa."
"2025/12/11 10:18:27 AM CET","Studente","Molto interessato/a","Ricerca e approfondimento personale;Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Estremamente interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 10:19:00 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 10:22:02 AM CET","Docente","Abbastanza interessato/a","Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Oltre il 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 10:22:53 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Estremamente interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Non ho bisogno di questa funzionalità","Media",""
"2025/12/11 10:23:36 AM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Molto interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta","non aggiungo e"
"2025/12/11 10:24:53 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Audiolibri;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Molto interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Terrorizzato",""
"2025/12/11 10:32:01 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
